Date,Close,Open,High,Low,Vol.,Change %
"Feb 04, 2013",7363,"7,427.56","7,445.90","7,362.31",44.76M,-0.78%
"Feb 05, 2013",7405,"7,344.66","7,423.06","7,344.66",45.64M,0.57%
"Feb 06, 2013",7433,"7,398.42","7,465.51","7,387.63",47.58M,0.39%
"Feb 07, 2013",7337,"7,408.00","7,427.41","7,336.76",44.26M,-1.30%
"Feb 08, 2013",7396,"7,357.61","7,406.27","7,354.56",36.03M,0.80%
"Feb 11, 2013",7408,"7,406.63","7,429.43","7,392.29",31.54M,0.16%
"Feb 12, 2013",7427,"7,425.71","7,433.98","7,394.84",34.98M,0.26%
"Feb 13, 2013",7482,"7,442.69","7,497.67","7,439.91",38.45M,0.74%
"Feb 14, 2013",7482,"7,465.26","7,488.42","7,439.32",58.54M,0.00%
"Feb 15, 2013",7501,"7,504.60","7,524.88","7,487.80",82.69M,0.25%
"Feb 18, 2013",7497,"7,493.25","7,504.39","7,476.57",22.09M,-0.04%
"Feb 19, 2013",7580,"7,493.02","7,579.50","7,491.08",31.86M,1.10%
"Feb 20, 2013",7626,"7,571.21","7,635.12","7,567.10",39.61M,0.61%
"Feb 21, 2013",7506,"7,609.03","7,616.26","7,505.71",56.40M,-1.58%
"Feb 22, 2013",7554,"7,512.04","7,563.69","7,510.57",35.82M,0.65%
"Feb 25, 2013",7594,"7,577.34","7,611.16","7,568.71",50.84M,0.53%
"Feb 26, 2013",7450,"7,445.80","7,499.56","7,439.82",70.22M,-1.90%
"Feb 27, 2013",7485,"7,482.08","7,491.90","7,423.62",42.68M,0.47%
"Feb 28, 2013",7594,"7,510.05","7,598.47","7,505.01",50.99M,1.45%
"Mar 01, 2013",7602,"7,577.99","7,619.07","7,548.73",59.14M,0.11%
"Mar 04, 2013",7591,"7,584.46","7,596.99","7,571.00",40.58M,-0.15%
"Mar 05, 2013",7718,"7,629.70","7,729.43","7,629.13",58.33M,1.69%
